player_name,player_id,batting_style,bowling_style,position,country
A Ashish Reddy,0,right-hand-bat,right-arm-fast-medium,Bowler,India
A Badoni,1,right-hand-bat,right-arm-offbreak,Batsman,India
A Chandila,2,right-hand-bat,right-arm-offbreak,Allrounder,India
A Chopra,3,right-hand-bat,,Batsman,India
A Choudhary,4,right-hand-bat,right-arm-fast-medium,Bowler,India
A Dananjaya,5,left-hand-bat,right-arm-offbreak,Allrounder,Sri Lanka
A Flintoff,6,right-hand-bat,right-arm-fast-medium,Allrounder,England
A Kamboj,7,,,,
A Kumble,8,right-hand-bat,legbreak-googly,Bowler,India
A Manohar,9,right-hand-bat,legbreak,Allrounder,India
A Mhatre,10,,,,
A Mishra,11,right-hand-bat,legbreak,Bowler,India
A Mithun,12,right-hand-bat,right-arm-fast-medium,Bowler,India
A Mukund,13,left-hand-bat,legbreak-googly,Batsman,India
A Nehra,14,right-hand-bat,left-arm-fast-medium,Bowler,India
A Nel,15,right-hand-bat,right-arm-fast-medium,Bowler,South Africa
A Nortje,16,right-hand-bat,right-arm-fast,Bowler,South Africa
A Raghuvanshi,17,right-hand-bat,slow-left-arm-orthodox,Bowler,India
A Singh,18,right-hand-bat,right-arm-fast-medium,Bowler,India
A Symonds,19,right-hand-bat,right-arm-fast-medium,Allrounder,Australia
A Tomar,20,right-hand-bat,right-arm-offbreak,Batsman,India
A Uniyal,21,,,,
A Zampa,22,right-hand-bat,legbreak-googly,Bowler,Australia
AA Bilakhia,23,,,,
AA Chavan,24,,,,
AA Jhunjhunwala,25,,,,
AA Kazi,26,left-hand-bat,slow-left-arm-orthodox,Bowler,India
AA Kulkarni,27,right-hand-bat,right-arm-fast-medium,Batsman,Bulgaria
AA Noffke,28,,,,
AB Agarkar,29,right-hand-bat,right-arm-fast,Bowler,India
AB Barath,30,,,,
AB Dinda,31,right-hand-bat,right-arm-fast-medium,Bowler,India
AB McDonald,32,right-hand-bat,right-arm-fast-medium,Allrounder,Australia
AB de Villiers,33,right-hand-bat,right-arm-fast-medium,Wicketkeeper,South Africa
AC Blizzard,34,left-hand-bat,left-arm-fast-medium,Batsman,Australia
AC Gilchrist,35,left-hand-bat,right-arm-offbreak,Wicketkeeper,Australia
AC Thomas,36,right-hand-bat,,Bowler,India
AC Voges,37,right-hand-bat,slow-left-arm-orthodox,Batsman,Australia
AD Hales,38,right-hand-bat,right-arm-fast-medium,Top Order Batter,England
AD Mascarenhas,39,right-hand-bat,right-arm-fast-medium,Allrounder,England
AD Mathews,40,right-hand-bat,right-arm-fast-medium,Allrounder,Sri Lanka
AD Nath,41,right-hand-bat,right-arm-fast-medium,Batsman,India
AD Russell,42,right-hand-bat,right-arm-fast,Allrounder,West Indies
AF Milne,43,right-hand-bat,right-arm-fast,Bowler,New Zealand
AG Murtaza,44,left-hand-bat,slow-left-arm-orthodox,Bowler,India
AG Paunikar,45,right-hand-bat,,Wicketkeeper,India
AJ Finch,46,right-hand-bat,slow-left-arm-orthodox,Batsman,Australia
AJ Hosein,47,left-hand-bat,slow-left-arm-orthodox,Bowler,West Indies
AJ Turner,48,right-hand-bat,right-arm-offbreak,Middle Order Batter,Australia
AJ Tye,49,right-hand-bat,right-arm-fast-medium,Bowler,Australia
AK Markram,50,right-hand-bat,right-arm-offbreak,Batsman,South Africa
AL Menaria,51,left-hand-bat,slow-left-arm-orthodox,Batsman,India
AM Nayar,52,left-hand-bat,right-arm-fast-medium,Allrounder,India
AM Rahane,53,right-hand-bat,right-arm-fast-medium,Batsman,India
AM Salvi,54,,,,
AN Ahmed,55,right-hand-bat,right-arm-fast-medium,Bowler,India
AN Ghosh,56,,,Batsman,India
AP Dole,57,,,,
AP Majumdar,58,right-hand-bat,legbreak-googly,Batsman,India
AP Tare,59,right-hand-bat,,Wicketkeeper,India
AR Bawne,60,,,,
AR Patel,61,left-hand-bat,slow-left-arm-orthodox,Allrounder,India
AS Joseph,62,right-hand-bat,right-arm-fast-medium,Bowler,West Indies
AS Rajpoot,63,right-hand-bat,right-arm-fast-medium,Bowler,India
AS Raut,64,,,Allrounder,India
AS Roy,65,left-hand-bat,slow-left-arm-orthodox,Allrounder,India
AS Yadav,66,right-hand-bat,right-arm-fast,Allrounder,India
AT Carey,67,left-hand-bat,,Wicketkeeper,Australia
AT Rayudu,68,,,,
AU Rashid,69,right-hand-bat,legbreak,Bowler,England
AUK Pathan,70,left-hand-bat,,Batsman,Qatar
Abdul Basith,71,right-hand-bat,right-arm-offbreak,Allrounder,India
Abdul Samad,72,right-hand-bat,legbreak,Allrounder,India
Abdur Razzak,73,left-hand-bat,slow-left-arm-orthodox,Bowler,Bangladesh
Abhishek Sharma,74,left-hand-bat,slow-left-arm-orthodox,Allrounder,India
Abishek Porel,75,left-hand-bat,,Wicketkeeper,India
Akash Deep,76,,,Bowler,Italy
Akash Madhwal,77,right-hand-bat,right-arm-fast-medium,Bowler,India
Akash Singh,78,right-hand-bat,left-arm-fast-medium,Bowler,India
Aman Hakim Khan,79,,,Allrounder,Sweden
Anand Rajan,80,right-hand-bat,right-arm-fast-medium,Bowler,India
Aniket Verma,81,left-hand-bat,legbreak,Batsman,India
Anirudh Singh,82,left-hand-bat,,Wicketkeeper,India
Ankit Sharma,83,left-hand-bat,slow-left-arm-orthodox,Bowler,India
Ankit Soni,84,right-hand-bat,,Bowler,Germany
Anmolpreet Singh,85,right-hand-bat,right-arm-offbreak,Batsman,India
Anuj Rawat,86,left-hand-bat,,Wicketkeeper,India
Anureet Singh,87,right-hand-bat,right-arm-fast-medium,Bowler,India
Arjun Tendulkar,88,left-hand-bat,left-arm-fast-medium,Bowler,India
Arshad Khan,89,left-hand-bat,left-arm-fast-medium,Allrounder,India
Arshad Khan (2),90,left-hand-bat,left-arm-fast-medium,Allrounder,India
Arshdeep Singh,91,left-hand-bat,left-arm-fast-medium,Bowler,India
Ashutosh Sharma,92,right-hand-bat,,Batsman,Germany
Ashwani Kumar,93,right-hand-bat,right-arm-fast-medium,Batsman,India
Atharva Taide,94,left-hand-bat,slow-left-arm-orthodox,Allrounder,India
Avesh Khan,95,right-hand-bat,right-arm-fast-medium,Bowler,USA
Azhar Mahmood,96,right-hand-bat,right-arm-fast-medium,Batsman,Spain
Azmatullah Omarzai,97,right-hand-bat,right-arm-fast-medium,Allrounder,Afghanistan
B Akhil,98,,,,
B Chipli,99,right-hand-bat,right-arm-fast-medium,Bowler,India
B Geeves,100,right-hand-bat,right-arm-fast-medium,Bowler,Australia
B Indrajith,101,right-hand-bat,legbreak-googly,Batsman,India
B Kumar,102,right-hand-bat,right-arm-fast-medium,Bowler,India
B Laughlin,103,right-hand-bat,right-arm-fast-medium,Bowler,Australia
B Lee,104,right-hand-bat,right-arm-fast,Bowler,Australia
B Sai Sudharsan,105,left-hand-bat,legbreak,Batsman,India
B Stanlake,106,left-hand-bat,right-arm-fast,Bowler,Australia
B Sumanth,107,,,,
BA Bhatt,108,left-hand-bat,slow-left-arm-orthodox,Bowler,India
BA Stokes,109,left-hand-bat,right-arm-fast-medium,Allrounder,England
BAW Mendis,110,right-hand-bat,right-arm-offbreak,Bowler,Sri Lanka
BB McCullum,111,right-hand-bat,right-arm-offbreak,Wicketkeeper,New Zealand
BB Samantray,112,,,,
BB Sran,113,,,,
BCJ Cutting,114,right-hand-bat,right-arm-fast-medium,Allrounder,Australia
BE Hendricks,115,left-hand-bat,left-arm-fast-medium,Bowler,South Africa
BJ Haddin,116,right-hand-bat,,Wicketkeeper,Australia
BJ Hodge,117,right-hand-bat,right-arm-fast-medium,Allrounder,Australia
BJ Rohrer,118,left-hand-bat,,Batsman,Australia
BKG Mendis,119,right-hand-bat,,Wicketkeeper,Sri Lanka
BMAJ Mendis,120,,,,
BR Dunk,121,left-hand-bat,right-arm-offbreak,Wicketkeeper,Australia
BR Sharath,122,right-hand-bat,right-arm-fast-medium,Bowler,India
BW Hilfenhaus,123,right-hand-bat,right-arm-fast-medium,Bowler,Australia
Basil Thampi,124,right-hand-bat,right-arm-fast-medium,Bowler,India
Bipul Sharma,125,left-hand-bat,slow-left-arm-orthodox,Bowler,India
C Bosch,126,right-hand-bat,right-arm-fast-medium,Allrounder,South Africa
C Ganapathy,127,,,,
C Green,128,right-hand-bat,right-arm-fast-medium,Allrounder,Australia
C Madan,129,,,,
C Munro,130,left-hand-bat,right-arm-fast-medium,Batsman,New Zealand
C Nanda,131,,,,
C Sakariya,132,left-hand-bat,left-arm-fast-medium,Bowler,India
C de Grandhomme,133,right-hand-bat,right-arm-fast-medium,Allrounder,New Zealand
CA Ingram,134,left-hand-bat,legbreak,Top Order Batter,South Africa
CA Lynn,135,right-hand-bat,slow-left-arm-orthodox,Batsman,Australia
CA Pujara,136,right-hand-bat,legbreak,Batsman,India
CH Gayle,137,left-hand-bat,right-arm-offbreak,Allrounder,West Indies
CH Morris,138,right-hand-bat,right-arm-fast-medium,Allrounder,South Africa
CJ Anderson,139,left-hand-bat,left-arm-fast-medium,Allrounder,New Zealand
CJ Dala,140,right-hand-bat,right-arm-fast-medium,Bowler,South Africa
CJ Ferguson,141,right-hand-bat,right-arm-fast-medium,Batsman,Australia
CJ Green,142,right-hand-bat,right-arm-offbreak,Bowling Allrounder,Australia
CJ Jordan,143,right-hand-bat,right-arm-fast-medium,Bowler,England
CJ McKay,144,right-hand-bat,right-arm-fast-medium,Bowler,Australia
CK Kapugedera,145,right-hand-bat,right-arm-fast-medium,Batsman,Sri Lanka
CK Langeveldt,146,right-hand-bat,right-arm-fast-medium,Bowler,South Africa
CL White,147,right-hand-bat,legbreak-googly,Batsman,Australia
CM Gautam,148,right-hand-bat,,Wicketkeeper,India
CR Brathwaite,149,right-hand-bat,right-arm-fast-medium,Bowling Allrounder,West Indies
CR Woakes,150,right-hand-bat,right-arm-fast-medium,Allrounder,England
CRD Fernando,151,right-hand-bat,right-arm-fast-medium,Bowler,Sri Lanka
CV Varun,152,,,,
D Brevis,153,right-hand-bat,legbreak,Batsman,South Africa
D Ferreira,154,right-hand-bat,,Allrounder,South Africa
D Jansen,155,,,Bowler,South Africa
D Kalyankrishna,156,,,,
D Padikkal,157,left-hand-bat,right-arm-offbreak,Batsman,India
D Pretorius,158,right-hand-bat,right-arm-fast-medium,Allrounder,South Africa
D Salunkhe,159,right-hand-bat,legbreak,Allrounder,India
D Wiese,160,right-hand-bat,right-arm-fast-medium,Allrounder,Namibia
D du Preez,161,,,Allrounder,South Africa
DA Miller,162,left-hand-bat,right-arm-offbreak,Batsman,South Africa
DA Warner,163,left-hand-bat,legbreak,Batsman,Australia
DAJ Bracewell,164,right-hand-bat,right-arm-fast-medium,Bowler,New Zealand
DB Das,165,right-hand-bat,legbreak-googly,Wicketkeeper,India
DB Ravi Teja,166,right-hand-bat,legbreak-googly,Batsman,India
DE Bollinger,167,left-hand-bat,left-arm-fast-medium,Bowler,Australia
DG Nalkande,168,,,,
DH Yagnik,169,,,,
DJ Bravo,170,right-hand-bat,right-arm-fast-medium,Allrounder,West Indies
DJ Harris,171,right-hand-bat,right-arm-fast-medium,Bowler,England
DJ Hooda,172,,,,
DJ Hussey,173,right-hand-bat,right-arm-offbreak,Batsman,Australia
DJ Jacobs,174,right-hand-bat,right-arm-fast-medium,Wicketkeeper,South Africa
DJ Malan,175,left-hand-bat,legbreak,Top Order Batter,England
DJ Mitchell,176,right-hand-bat,right-arm-fast-medium,Allrounder,England
DJ Muthuswami,177,right-hand-bat,right-arm-fast-medium,Bowler,India
DJ Thornely,178,,,,
DJ Willey,179,left-hand-bat,left-arm-fast-medium,Bowling Allrounder,England
DJG Sammy,180,right-hand-bat,right-arm-fast-medium,Allrounder,West Indies
DJM Short,181,left-hand-bat,slow-left-arm-orthodox,Batsman,Australia
DL Chahar,182,,,,
DL Vettori,183,left-hand-bat,slow-left-arm-orthodox,Bowler,New Zealand
DM Bravo,184,left-hand-bat,right-arm-fast-medium,Batsman,West Indies
DNT Zoysa,185,,,,
DP Conway,186,left-hand-bat,right-arm-fast-medium,Wicketkeeper,New Zealand
DP Nannes,187,right-hand-bat,left-arm-fast,Bowler,Australia
DP Vijaykumar,188,right-hand-bat,,Batsman,India
DPMD Jayawardene,189,right-hand-bat,right-arm-fast-medium,Batsman,Sri Lanka
DR Martyn,190,right-hand-bat,right-arm-fast-medium,Batsman,Australia
DR Sams,191,right-hand-bat,left-arm-fast-medium,Allrounder,Australia
DR Shorey,192,right-hand-bat,right-arm-offbreak,Batsman,India
DR Smith,193,right-hand-bat,right-arm-fast-medium,Batsman,West Indies
DS Kulkarni,194,right-hand-bat,right-arm-fast-medium,Bowler,India
DS Lehmann,195,,,,
DS Rathi,196,,,,
DT Christian,197,right-hand-bat,right-arm-fast-medium,Allrounder,Australia
DT Patil,198,,,,
DW Steyn,199,right-hand-bat,right-arm-fast,Bowler,South Africa
Dhruv Jurel,200,right-hand-bat,,Wicketkeeper,India
E Lewis,201,left-hand-bat,,Batsman,West Indies
E Malinga,202,left-hand-bat,right-arm-fast-medium,Allrounder,Sri Lanka
EJG Morgan,203,left-hand-bat,right-arm-fast-medium,Batsman,England
ER Dwivedi,204,right-hand-bat,,Wicketkeeper,India
F Behardien,205,right-hand-bat,right-arm-fast-medium,Batting Allrounder,South Africa
F du Plessis,206,right-hand-bat,legbreak,Batsman,South Africa
FA Allen,207,right-hand-bat,slow-left-arm-orthodox,Allrounder,West Indies
FH Edwards,208,right-hand-bat,right-arm-fast,Bowler,West Indies
FY Fazal,209,,,,
Fazalhaq Farooqi,210,right-hand-bat,left-arm-fast-medium,Bowler,Afghanistan
G Coetzee,211,right-hand-bat,right-arm-fast,Bowler,South Africa
G Gambhir,212,left-hand-bat,legbreak,Batsman,India
GB Hogg,213,left-hand-bat,slow-left-arm-orthodox,Bowler,Australia
GC Smith,214,left-hand-bat,right-arm-offbreak,Batsman,South Africa
GC Viljoen,215,right-hand-bat,right-arm-fast,Bowler,South Africa
GD McGrath,216,right-hand-bat,right-arm-fast-medium,Bowler,Australia
GD Phillips,217,right-hand-bat,,Wicketkeeper,New Zealand
GH Vihari,218,right-hand-bat,right-arm-offbreak,Allrounder,India
GHS Garton,219,,,,
GJ Bailey,220,right-hand-bat,right-arm-fast-medium,Batsman,Australia
GJ Maxwell,221,right-hand-bat,right-arm-offbreak,Allrounder,Australia
GR Napier,222,,,,
GS Sandhu,223,,,Allrounder,India
Gagandeep Singh,224,right-hand-bat,right-arm-fast-medium,Batsman,India
Gulbadin Naib,225,right-hand-bat,right-arm-fast-medium,Batting Allrounder,Afghanistan
Gurkeerat Singh,226,right-hand-bat,right-arm-offbreak,Middle Order Batter,India
Gurnoor Brar,227,left-hand-bat,right-arm-fast,Bowler,India
H Das,228,,,,
H Klaasen,229,right-hand-bat,,Wicketkeeper,South Africa
H Sharma,230,right-hand-bat,right-arm-fast-medium,Allrounder,India
HC Brook,231,,,,
HE van der Dussen,232,right-hand-bat,legbreak,Batsman,South Africa
HF Gurney,233,right-hand-bat,left-arm-fast-medium,Bowler,England
HH Gibbs,234,right-hand-bat,right-arm-fast,Batsman,South Africa
HH Pandya,235,right-hand-bat,right-arm-fast-medium,Allrounder,India
HM Amla,236,right-hand-bat,right-arm-offbreak,Batsman,South Africa
HR Shokeen,237,,,,
HV Patel,238,right-hand-bat,,Wicketkeeper,India
Harbhajan Singh,239,right-hand-bat,right-arm-offbreak,Bowler,India
Harmeet Singh,240,right-hand-bat,right-arm-fast-medium,Bowler,India
Harmeet Singh (2),241,right-hand-bat,right-arm-fast-medium,Bowler,India
Harpreet Brar,242,left-hand-bat,slow-left-arm-orthodox,Bowler,India
Harpreet Singh,243,left-hand-bat,right-arm-fast-medium,Batsman,India
Harsh Dubey,244,left-hand-bat,slow-left-arm-orthodox,Bowler,India
Harshit Rana,245,right-hand-bat,right-arm-fast-medium,Bowler,India
I Malhotra,246,right-hand-bat,right-arm-fast-medium,Bowler,India
I Sharma,247,right-hand-bat,right-arm-fast-medium,Bowler,India
I Udana,248,right-hand-bat,left-arm-fast-medium,Allrounder,Sri Lanka
IC Pandey,249,left-hand-bat,,Batsman,Nepal
IC Porel,250,right-hand-bat,right-arm-fast-medium,Bowler,India
IK Pathan,251,left-hand-bat,left-arm-fast-medium,Bowler,India
IR Jaggi,252,,,,
IS Sodhi,253,right-hand-bat,legbreak,Bowler,New Zealand
Imran Tahir,254,right-hand-bat,legbreak-googly,Bowler,South Africa
Iqbal Abdulla,255,left-hand-bat,slow-left-arm-orthodox,Bowler,India
Ishan Kishan,256,left-hand-bat,,Wicketkeeper,India
J Arunkumar,257,,,Batsman,India
J Botha,258,right-hand-bat,right-arm-offbreak,Allrounder,South Africa
J Fraser-McGurk,259,right-hand-bat,legbreak-googly,Batsman,Australia
J Little,260,right-hand-bat,left-arm-fast-medium,Bowler,Ireland Republic
J Overton,261,right-hand-bat,right-arm-fast-medium,Bowler,England
J Suchith,262,,,,
J Syed Mohammad,263,right-hand-bat,,Batsman,Kuwait
J Theron,264,,,Bowler,USA
J Yadav,265,right-hand-bat,right-arm-offbreak,Bowler,India
JA Morkel,266,left-hand-bat,right-arm-fast-medium,Allrounder,South Africa
JA Richardson,267,right-hand-bat,right-arm-fast,Bowler,Australia
JC Archer,268,right-hand-bat,right-arm-fast,Bowler,England
JC Buttler,269,right-hand-bat,,Wicketkeeper,England
JD Ryder,270,left-hand-bat,right-arm-fast-medium,Allrounder,New Zealand
JD Unadkat,271,right-hand-bat,left-arm-fast-medium,Bowler,India
JDP Oram,272,left-hand-bat,right-arm-fast-medium,Allrounder,New Zealand
JDS Neesham,273,left-hand-bat,right-arm-fast-medium,Batting Allrounder,New Zealand
JE Root,274,right-hand-bat,right-arm-offbreak,Batsman,England
JE Taylor,275,right-hand-bat,right-arm-fast,Bowler,West Indies
JEC Franklin,276,left-hand-bat,left-arm-fast-medium,Allrounder,New Zealand
JG Bethell,277,left-hand-bat,slow-left-arm-orthodox,Allrounder,England
JH Kallis,278,right-hand-bat,right-arm-fast-medium,Allrounder,South Africa
JJ Bumrah,279,right-hand-bat,right-arm-fast,Bowler,India
JJ Roy,280,right-hand-bat,,Batsman,England
JJ van der Wath,281,right-hand-bat,right-arm-fast-medium,Allrounder,Sri Lanka
JL Denly,282,right-hand-bat,legbreak,Bowler,England
JL Pattinson,283,left-hand-bat,right-arm-fast-medium,Bowler,Australia
JM Bairstow,284,right-hand-bat,right-arm-fast-medium,Wicketkeeper,England
JM Kemp,285,right-hand-bat,right-arm-fast-medium,Allrounder,South Africa
JM Sharma,286,,,Wicketkeeper,India
JO Holder,287,right-hand-bat,right-arm-fast-medium,Bowling Allrounder,West Indies
JP Behrendorff,288,right-hand-bat,left-arm-fast-medium,Bowler,Australia
JP Duminy,289,left-hand-bat,right-arm-offbreak,Allrounder,South Africa
JP Faulkner,290,right-hand-bat,left-arm-fast-medium,Allrounder,Australia
JP Inglis,291,right-hand-bat,,Wicketkeeper,Australia
JPR Scantlebury-Searles,292,,,,
JR Hazlewood,293,left-hand-bat,right-arm-fast-medium,Bowler,Australia
JR Hopes,294,,,,
JR Philippe,295,right-hand-bat,,Wicketkeeper,Australia
JW Hastings,296,right-hand-bat,right-arm-fast-medium,Allrounder,Australia
Jalaj S Saxena,297,right-hand-bat,right-arm-offbreak,Allrounder,India
Jaskaran Singh,298,right-hand-bat,right-arm-fast-medium,Bowler,India
Joginder Sharma,299,,,Wicketkeeper,Italy
K Goel,300,,,,
K Gowtham,301,,,Allrounder,India
K Kartikeya,302,right-hand-bat,slow-left-arm-orthodox,Bowler,India
K Khejroliya,303,left-hand-bat,left-arm-fast-medium,Bowler,India
K Rabada,304,left-hand-bat,right-arm-fast,Bowler,South Africa
K Santokie,305,,,,
K Upadhyay,306,right-hand-bat,right-arm-fast-medium,Bowler,India
K Yadav,307,,,Bowler,Cyprus
KA Jamieson,308,right-hand-bat,right-arm-fast-medium,Bowler,New Zealand
KA Maharaj,309,right-hand-bat,slow-left-arm-orthodox,Bowler,South Africa
KA Pollard,310,right-hand-bat,right-arm-fast-medium,Batting Allrounder,West Indies
KAJ Roach,311,right-hand-bat,right-arm-fast-medium,Bowler,West Indies
KB Arun Karthik,312,right-hand-bat,,Wicketkeeper,India
KC Cariappa,313,right-hand-bat,legbreak,Bowler,India
KC Sangakkara,314,left-hand-bat,right-arm-offbreak,Wicketkeeper,Sri Lanka
KD Karthik,315,right-hand-bat,,Wicketkeeper,India
KH Pandya,316,,,,
KJ Abbott,317,right-hand-bat,right-arm-fast-medium,Batsman,South Africa
KK Ahmed,318,right-hand-bat,right-arm-fast-medium,Batsman,India
KK Cooper,319,right-hand-bat,right-arm-fast-medium,Bowler,West Indies
KK Nair,320,right-hand-bat,right-arm-offbreak,Batsman,India
KL Nagarkoti,321,right-hand-bat,right-arm-fast,Bowler,India
KL Rahul,322,right-hand-bat,right-arm-fast-medium,Allrounder,Spain
KM Asif,323,right-hand-bat,right-arm-fast-medium,Bowler,India
KM Jadhav,324,right-hand-bat,right-arm-offbreak,Allrounder,India
KMA Paul,325,right-hand-bat,right-arm-fast-medium,Allrounder,West Indies
KMDN Kulasekara,326,right-hand-bat,right-arm-fast-medium,Bowler,Sri Lanka
KP Appanna,327,right-hand-bat,slow-left-arm-orthodox,Bowler,India
KP Pietersen,328,right-hand-bat,right-arm-offbreak,Batsman,England
KR Mayers,329,left-hand-bat,right-arm-fast-medium,Batting Allrounder,West Indies
KR Sen,330,right-hand-bat,right-arm-fast-medium,Bowler,India
KS Bharat,331,right-hand-bat,,Wicketkeeper,India
KS Rathore,332,right-hand-bat,,Allrounder,India
KS Sharma,333,right-hand-bat,right-arm-offbreak,Allrounder,India
KS Williamson,334,right-hand-bat,right-arm-offbreak,Batsman,New Zealand
KT Maphaka,335,left-hand-bat,left-arm-fast-medium,Batsman,South Africa
KV Sharma,336,right-hand-bat,right-arm-offbreak,Allrounder,India
KW Richardson,337,right-hand-bat,right-arm-fast-medium,Bowler,Australia
Kamran Akmal,338,right-hand-bat,,Wicketkeeper,Pakistan
Kamran Khan,339,right-hand-bat,right-arm-fast-medium,Batsman,Qatar
Karanveer Singh,340,right-hand-bat,legbreak-googly,Bowler,India
Karim Janat,341,right-hand-bat,right-arm-fast-medium,Bowling Allrounder,Afghanistan
Kartik Tyagi,342,right-hand-bat,right-arm-fast-medium,Bowler,India
Kuldeep Yadav,343,left-hand-bat,left-arm-chinaman,Bowler,India
Kumar Kushagra,344,right-hand-bat,,Wicketkeeper,India
L Ablish,345,,,,
L Balaji,346,right-hand-bat,right-arm-fast-medium,Bowler,India
L Ngidi,347,right-hand-bat,right-arm-fast,Bowler,South Africa
L Ronchi,348,right-hand-bat,,Wicketkeeper,New Zealand
L Wood,349,left-hand-bat,left-arm-fast-medium,Bowling Allrounder,England
LA Carseldine,350,,,,
LA Pomersbach,351,left-hand-bat,right-arm-offbreak,Batsman,Australia
LB Williams,352,,,Allrounder,Austria
LE Plunkett,353,right-hand-bat,right-arm-fast,Bowler,England
LH Ferguson,354,right-hand-bat,right-arm-fast,Bowler,New Zealand
LI Meriwala,355,left-hand-bat,left-arm-fast-medium,Bowler,India
LJ Wright,356,right-hand-bat,right-arm-fast-medium,Allrounder,England
LMP Simmons,357,right-hand-bat,right-arm-fast-medium,Batsman,West Indies
LPC Silva,358,right-hand-bat,legbreak,Batsman,Sri Lanka
LR Shukla,359,right-hand-bat,right-arm-fast-medium,Allrounder,India
LRPL Taylor,360,right-hand-bat,right-arm-offbreak,Middle Order Batter,New Zealand
LS Livingstone,361,right-hand-bat,legbreak,Allrounder,England
Lalit Yadav,362,right-hand-bat,right-arm-offbreak,Allrounder,India
Liton Das,363,right-hand-bat,,Wicketkeeper,Bangladesh
M Ashwin,364,,,Allrounder,India
M Jansen,365,right-hand-bat,left-arm-fast,Allrounder,South Africa
M Kaif,366,right-hand-bat,right-arm-offbreak,Batsman,India
M Kartik,367,left-hand-bat,slow-left-arm-orthodox,Bowler,India
M Klinger,368,right-hand-bat,,Batsman,Australia
M Manhas,369,right-hand-bat,right-arm-offbreak,Allrounder,India
M Markande,370,right-hand-bat,legbreak,Bowler,India
M Morkel,371,left-hand-bat,right-arm-fast,Bowler,South Africa
M Muralitharan,372,right-hand-bat,right-arm-offbreak,Bowler,Sri Lanka
M Ntini,373,right-hand-bat,right-arm-fast,Bowler,South Africa
M Pathirana,374,right-hand-bat,right-arm-fast-medium,Wicketkeeper,Sri Lanka
M Prasidh Krishna,375,,,Bowler,Sweden
